what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317085695050
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317085710357
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317085712825
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317085713045
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317085801274
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1317085802236
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1317085802270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317085819192
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317085822912
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317085822930
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317085824053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317085842146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317085844660
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317085844678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317085848125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317085849896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1317085849900
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1317085849901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317085850745
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317085869207
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317085870179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317085892567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317085980382
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317086100395
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317086101241
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317086101685
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317086404792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317086410334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317086411605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317086411670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317086416444
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317086416490
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317086416531
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317086419904
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317086420153
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1317086423566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317086424567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317086424798
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317086424846
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317086464769
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317086464986
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317086466025
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317086466841
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317086473702
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317086473938
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317086479568
